time,message
1/29/2017 23:49,"I absolutely agree in the drive to respect the rights and freedom of everyone. However, when any company tells me that I am not wanted as a customer if I do not believe in everything they believe in; I will move on. I do not want to be a mindless follower for any group or company. I love Starbucks coffee, but will move on and find another brand to embrace. Good luck building a cult around Mr. Schultz .... signed, a former customer"
1/29/2017 23:44,"Thank you Starbucks and Mr. Schultz for supporting diversity and everyone in our community.  Screw Strobhar, let him sell his shares and see if he can do a better investment elsewhere."
1/29/2017 23:11,Very unhappy with my last few visits to the massillon ohio store. Waited 15min for coffee to be told they lost my order and had to remake it. Then I wanted a donut which they are always out of. Was  also told that they only put out 2 and once there gone there gone.  If you are going to advertise thing and not put them out why have them. One last thing is they are always busy and you have to wait 20 to 25 mins in the Drive thur. I'm going to give them one last chance to get things in order or I'm not going to back to a Starbucks again.
1/29/2017 22:30,It seems to have very limited selection at the Olympic and Soto  ( Los Angeles) location. Wasn't even able to order the featured items. SMH  Ì†ΩÌ∏î
1/29/2017 22:19,"So here it is ‚Äì almost the end of January ‚Äì and my local Starbucks (South Street in Philadelphia) is still ONLY serving Christmas Blend as dark. Since don‚Äôt brew ANYTHING except Pike Place after 12noon (unless you demand a pour over!) and employees are instructed to only brew the Christmas Blend until it‚Äôs all gone -, AND since they still have a few CASES of CB, we may have to put up with CB until Easter this year. (Remember when SB actually cared about the quality of the coffee they served in their stores?)"
1/29/2017 21:26,"Kudos to your customer service agents!  My Starbucks account was hacked and it wreaked havoc on not only my Starbucks card but my checking account.  My credit union credited me back the $$ and your CS rep took care of making sure everything was as it should be, shutting down the ""bad"" gold card, ordering me a new one and getting my balance back to what it was before this all started.  AND, she even threw an extra $10 on top----greatly appreciated.  She was super sweet, professional and a pleasure to speak with.  Thank you, Starbucks!"
1/29/2017 20:49,"How come I keep getting a message that,my stars are going to expire, when people on here have up to 40 free drinks????????"
1/29/2017 19:29,"The everything bantam bagels are super yummy, but there really should be three. 2 just isn't enough."
1/29/2017 19:20,Thank you for the birthday reward for my birthday on Jan 27th. Went to redeem it and then realized you only gave me 1 day when I went to redeem it on Jan 29th. You used to give more time. So we are just out of luck if we can't run right down to Starbucks ???  Not nice !!
1/29/2017 18:54,"Watch Amazon film, ""Barista"" - it is so fun and you see what it really means to be a coffee expert.  It is fun to watch, if you are a Starbucks fan like I am.  Starbucks is not mentioned in the film."
1/29/2017 18:05,"I purchased a pound of Samantra whole bean coffee at my local Starbuck store in Woodbride, VA and it tasted like it was decades old...  horrabe."
1/29/2017 18:02,"I went onto the Starbucks page and filled out the form to register a complaint about a barista. I had already mentioned it to the manager the next morning, but still wanted who ever to know about it. This happened about a week ago. I had ordered my coffee in the morning and didn't check before I pulled away from the drive thru. I got to work and had the wrong drink but didn't have time to fix it, I stopped in after work. I explained what happened and pulled up to the window. I was then asked, ""Do you have the cup?"" which I did. She then asked me ""Did you drink it or dump it?"" I have NEVER been asked this before. I was always under the impression that no matter what a drink would be fixed. I know a barista and when I told her what happened she was even shocked and told me to complain. I got the impression that this barista has had issues before with her customer service. When I told them the next morning what had happened the barista was apologetic but like well she doesn't know you like we do. Why would that matter? Yes the problem was taken care of but still customer service is very important in a business and the young lady was rude."
